shapeName,house_count
HARGEISA,223110
BAIDOA,194397
DANYILE,125584
AFGOI,123302
BURAO,114176
BELET WEYNE,85539
BALAD,77720
KISMAYO,75497
YAQSHID,69672
MARKA,66084
BOSSASO,65357
KAHDA,64726
BURHAKABA,62267
JOWHAR,60480
WANLEWEYNE,53116
GABILEY,47330
KARAN,47240
HELIWA,45594
GALKAYU NORTH,44561
GAROWE,44415
MADINA,44116
BORAMA,42962
DHARKENLY,42603
QORYOLEY,39394
BARDERA,38289
HODAN,35469
DINSOOR,35354
KURTUNWAAREY,35159
BELET HAWA,34673
LAS ANOD,33162
MAHADAY,32960
AWDHEEGLE,32035
BULO BURTI,30646
HUDUR,30339
BERBERA,28703
BADHAN,28306
AFMADOW,28092
QANSAH DHEERE,27486
BERDALE,25898
JAMAAME WEST,24426
WAJID,24115
BUHODLE,24113
GURIEL,24034
GALKAYU SOUTH,22321
ADADO,22319
BUAALE,22286
DUSAMREB,21990
ERIGAVO,21543
JALALAQSI,20914
BALIGUBADLE,19885
ODWAYNE,19743
LUUQ,19556
GARDO,19214
SAKOW,18925
JILIB EAST,18693
HOBYO,16893
WARDEGLY,16770
GARBAHAREY,16268
TIYEGLO,15589
DOLO,15215
JARIBAN,14046
EL WAK,13944
GALHAREERI,13823
MATABAN,13691
WABERI,13164
SHEIKH,12906
ADALE,12839
AYNABO,12316
BURTINLE,11435
HAWAL WADAG,11424
JILIB WEST,10517
HAMAR JABJAB,9266
WARSHEIKH,8818
BRAVA,8620
EL AFWEYN,8455
RABDURE,8303
HARADHERE,8099
QANDALA,8064
ADEN YABAL,7915
EL BUR,7415
ELGARAS,7372
WACIYA,7288
BAKI,7110
BONDERE,7067
BADHADHE,6514
ABDUL AZIZ,6465
GALAD,6240
TALEH,6193
HUDUN,6055
EYL,5844
MAHAS,5835
EL DHERE,5519
ZEILA,5504
LUGHAYA,5261
SALAGLE,5073
RUNINGOD,5073
JAMAAME EAST,5034
SHIBIS,4782
ALULA,4666
EL BARDE,4630
DANGOROYO,4593
GOLDOGOB,4303
SABLALE,4300
ISKUSHUBAN,4281
BARGAAL,3652
BENDER BAYLA,3638
GALINSOOR,3527
UFEYN,3247
BALANBALE,3011
BURDUBO,2989
,2770
ABUDWAQ,2571
GEDWEIN,2386
HAMAR WEYN,2149
HAFUN,2075
HAGAR,1999
SHANGANI,1745
RAKO,1726
RAGA ELLE,1506
