OBJECTID,SETTLEMENT,REG_NAME,DIST_NAME,X,Y,house_count,shape name
5123,Xanan buro,Galgaduud,Cabudwaaq,46.36942,5.92108,974,ABUDWAQ
5149,Safsaaf,Galgaduud,Cabudwaaq,46.26641,6.16743,452,ABUDWAQ
5155,Mareere,Galgaduud,Cabudwaaq,45.99691,5.59973,370,BALANBALE
5151,Farmalagle,Galgaduud,Cabudwaaq,45.6245,5.43241,337,BALANBALE
5139,Duubin,Galgaduud,Cabudwaaq,46.44076,6.38159,324,ABUDWAQ
5152,Bohol,Galgaduud,Cabudwaaq,46.22785,5.74731,278,BALANBALE
5154,Balanbal,Galgaduud,Cabudwaaq,45.96932,5.68895,259,BALANBALE
2834,Lebi-hiiraan,Galgaduud,Cabudwaaq,45.71863,5.24572,258,GURIEL
5145,Yamaarugley,Galgaduud,Cabudwaaq,46.51482,6.45644,257,GALINSOOR
5213,Tuulo-caano,Galgaduud,Cabudwaaq,45.61753,5.37162,216,MATABAN
5167,Qaradhi,Galgaduud,Cabudwaaq,46.61505,6.00596,160,ADADO
2835,Cilmi-jawle,Galgaduud,Cabudwaaq,45.67813,5.2352,153,MATABAN
5153,Oodaale,Galgaduud,Cabudwaaq,45.8855,5.52516,124,BALANBALE
5143,Bangeele,Galgaduud,Cabudwaaq,46.43626,6.15527,121,ABUDWAQ
5144,Dhabad,Galgaduud,Cabudwaaq,46.54925,6.30619,111,GALINSOOR
5119,Laanle,Galgaduud,Cabudwaaq,45.89961,5.4798,89,BALANBALE
5150,Jora jowhar,Galgaduud,Cabudwaaq,45.8215,5.41521,82,BALANBALE
5170,Dhuumoodle,Galgaduud,Cabudwaaq,46.55282,6.18282,63,ABUDWAQ
5148,Baaltaag,Galgaduud,Cabudwaaq,46.29736,6.18756,36,ABUDWAQ
5146,Huurshe,Galgaduud,Cabudwaaq,46.42169,6.2102,29,ABUDWAQ
5172,Dibara,Galgaduud,Cabudwaaq,46.58528,6.1998,22,ADADO
5138,Cabudwaaq,Galgaduud,Cabudwaaq,46.3072,6.24178,21,ABUDWAQ
5142,Galmaygaag,Galgaduud,Cabudwaaq,46.3583,6.21851,12,ABUDWAQ
5147,Booso,Galgaduud,Cabudwaaq,46.41737,6.32658,3,ABUDWAQ
5141,Ceelaay,Galgaduud,Cabudwaaq,46.39986,6.26254,3,ABUDWAQ
5140,Ballicad,Galgaduud,Cabudwaaq,46.32816,6.20468,2,ABUDWAQ
5171,Hogdugaag,Galgaduud,Cabudwaaq,46.55957,6.1817,1,ABUDWAQ
5156,Cadaado,Galgaduud,Cadaado,46.62712,6.14568,10420,ADADO
