OBJECTID,SETTLEMENT,REG_NAME,DIST_NAME,tribe_level,percent,Source,Confidence,Tribe_name,,,
6563,Baardheere/kaskey,Gedo,Baardheere,1,100%,,,Rahanweyn,,,
6146,Wandid sakow,Juba Dhexe,Saakow,1,100%,,,Rahanweyn,,,
3894,Baidoa/hawl wadaag/laanta,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
4325,Buur dhuxunle,Bakool,Rab Dhuure,1,100%,,,Rahanweyn,,,
4692,Luuq/hillaac,Gedo,Luuq,1,100%,,,Rahanweyn,,,
10284,Buur hakaba/waaberi,Bay,Buur Hakaba,1,100%,,,Rahanweyn,,,
4354,Ceel boon,Gedo,Luuq,1,100%,,,Rahanweyn,,,
4147,Xudur/moora gaabey,Bakool,Xudur,1,100%,,,Rahanweyn,,,
3977,Berdale/october,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
4693,Luuq/waaberi,Gedo,Luuq,1,100%,,,Rahanweyn,,,
6349,Buulo-fulay,Bay,Buur Hakaba,1,100%,,,Rahanweyn,,,
3883,Baidoa/isha/laanta 5aad,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
3887,Baidoa/bardaale/laanta 1a,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
6560,Buulo garas,Gedo,Baardheere,1,100%,,,Rahanweyn,,,
9706,Buulo siidow,Shabelle Hoose,Qoryooley,1,100%,,,Rahanweyn,,,
10207,Leego,Bay,Buur Hakaba,1,100%,,,Rahanweyn,,,
4440,Waajid/howl-wadaag,Bakool,Waajid,1,100%,,,Rahanweyn,,,
10290,Buur hakaba/wadajir,Bay,Buur Hakaba,1,100%,,,Rahanweyn,,,
6348,Aadali-wiin,Bay,Buur Hakaba,1,100%,,,Rahanweyn,,,
4041,Garas wiine,Bakool,Xudur,1,100%,,,Rahanweyn,,,
3980,Berdale/waberi,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
3693,Aawdiinle,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
10298,Buur hakaba/dubai,Bay,Buur Hakaba,1,100%,,,Rahanweyn,,,
4441,Waajid/horseed,Bakool,Waajid,1,100%,,,Rahanweyn,,,
7004,Shabeelow,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
4375,Ceel-ure,Bakool,Waajid,1,100%,,,Rahanweyn,,,
3878,Baidoa/horseed/laanta 4aa,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
6571,Buulo leysaan,Gedo,Baardheere,1,100%,,,Rahanweyn,,,
3885,Baidoa/isha/laanta 3aad,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
3884,Baidoa/isha/laanta 4aad,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
4141,Xudur/dayura,Bakool,Xudur,1,100%,,,Rahanweyn,,,
5266,Bagdaad,Shabelle Dhexe,Cadale,1,100%,,,Rahanweyn,,,
4322,War dhujiiley,Bakool,Rab Dhuure,1,100%,,,Rahanweyn,,,
6552,Baardheere/hilaac,Gedo,Baardheere,1,100%,,,Rahanweyn,,,
4109,El garas,Bakool,Xudur,1,100%,,,Rahanweyn,,,
3895,Baidoa/hawl wadaag/laanta,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
3958,Buulo xaawo,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
3877,Baidoa/horseed/laanta 5aa,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
2271,Abaarey,Mudug,Gaalkacyo,1,100%,,,Rahanweyn,,,
10087,Bisig adde,Bay,Buur Hakaba,1,100%,,,Rahanweyn,,,
3893,Baidoa/hawl wadaag/laanta,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
4145,Xudur/sheikh aweys,Bakool,Xudur,1,100%,,,Rahanweyn,,,
10406,Raydabow,Bay,Buur Hakaba,1,100%,,,Rahanweyn,,,
7953,Doonka,Shabelle Hoose,Afgooye,1,100%,,,Rahanweyn,,,
3979,Berdale/axmed gurey,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
10468,Lug-habar,Bay,Buur Hakaba,1,100%,,,Rahanweyn,,,
10593,Shimbire,Bay,Buur Hakaba,1,100%,,,Rahanweyn,,,
3978,Berdale/horseed,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
6972,Buulo-barako,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
10297,Buurey-deerow,Bay,Buur Hakaba,1,100%,,,Rahanweyn,,,
3699,Labaatan jirow,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
10558,Qadiidli-wiin,Bay,Buur Hakaba,1,100%,,,Rahanweyn,,,
10041,Doodaale,Bay,Buur Hakaba,1,100%,,,Rahanweyn,,,
6160,Gurmeyso,Juba Dhexe,Saakow,1,100%,,,Rahanweyn,,,
4010,Hareeri-dheeri/reydabaall,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
6446,Cows qurun,Gedo,Baardheere,1,100%,,,Rahanweyn,,,
4114,War dhiigiiey,Bakool,Rab Dhuure,1,100%,,,Rahanweyn,,,
4029,Moqor,Bakool,Xudur,1,100%,,,Rahanweyn,,,
3879,Baidoa/horseed/laanta 3aa,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
6802,Duluunte,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
4019,Abaq beeday,Bakool,Xudur,1,100%,,,Rahanweyn,,,
10625,Dooygodobey,Bay,Buur Hakaba,1,100%,,,Rahanweyn,,,
6745,Mushka,Bay,Diinsoor,1,100%,,,Rahanweyn,,,
9407,Duurey,Shabelle Hoose,Kurtunwaarey,1,100%,,,Rahanweyn,,,
10460,Dooy-gaab,Bay,Buur Hakaba,1,100%,,,Rahanweyn,,,
6123,Egha roba,Juba Dhexe,Saakow,1,100%,,,Rahanweyn,,,
6229,Bar muumin dhoorow,Juba Dhexe,Saakow,1,100%,,,Rahanweyn,,,
4614,Dhamaso,Gedo,Belet Xaawo,1,100%,,,Rahanweyn,,,
7012,Goof-gaduud-shabelow 2,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
10542,Suruqli,Bay,Buur Hakaba,1,100%,,,Rahanweyn,,,
10434,Aliyow dooyow,Bay,Buur Hakaba,1,100%,,,Rahanweyn,,,
6815,Madooy,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
10519,Roobli-sheekh,Bay,Buur Hakaba,1,100%,,,Rahanweyn,,,
3750,Buulo-jadiid,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
6953,Xagarka,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
4720,Yurkud,Gedo,Luuq,1,100%,,,Rahanweyn,,,
3668,Bedinbedey,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
10606,Bur-heybe (main village),Bay,Buur Hakaba,1,100%,,,Rahanweyn,,,
3888,Baidoa/bardaale/laanta 2a,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
4096,Doonfuul,Bakool,Xudur,1,100%,,,Rahanweyn,,,
4047,Moro gabey,Bakool,Xudur,1,100%,,,Rahanweyn,,,
6781,Buusaar,Gedo,Ceel Waaq,1,100%,,,Rahanweyn,,,
4034,Sarmaan,Bakool,Xudur,1,100%,,,Rahanweyn,,,
3731,Bullo aamon,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
6136,Kadaarow,Juba Dhexe,Saakow,1,100%,,,Rahanweyn,,,
3779,Doboolow,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
4524,War cadoy,Gedo,Belet Xaawo,1,100%,,,Rahanweyn,,,
4378,Hooshow,Gedo,Luuq,1,100%,,,Rahanweyn,,,
3643,Gereera fur/towsiga,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
4089,Dudumaale,Bakool,Xudur,1,100%,,,Rahanweyn,,,
6808,Ceel-baay,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
10119,Barariya,Bay,Buur Hakaba,1,100%,,,Rahanweyn,,,
4110,Xiirey,Bakool,Xudur,1,100%,,,Rahanweyn,,,
4522,Laan quarac,Gedo,Belet Xaawo,1,100%,,,Rahanweyn,,,
6837,Bakaley,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
3696,Jiiro mad sheeg,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
3448,Lafaale,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
6920,Bootis,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
6801,Idale,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
10317,Masusoow,Bay,Buur Hakaba,1,100%,,,Rahanweyn,,,
6827,Habli furey,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
10419,Cabdi ureen,Bay,Buur Hakaba,1,100%,,,Rahanweyn,,,
4323,Waab giraad,Bakool,Rab Dhuure,1,100%,,,Rahanweyn,,,
6826,Buulo-ciir,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
6940,Buulo jadud,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
7975,Bagdaad,Shabelle Hoose,Afgooye,1,100%,,,Rahanweyn,,,
6901,Buulo-sokor,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
3468,Uusley,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
8807,Gaabaney,Shabelle Dhexe,Jowhar,1,100%,,,Rahanweyn,,,
4020,Hunyaley/lugay weene,Bakool,Xudur,1,100%,,,Rahanweyn,,,
10626,Mooda-mooda,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
4371,Ceel-dhanaawe,Gedo,Luuq,1,100%,,,Rahanweyn,,,
10103,Dagardhere,Bay,Buur Hakaba,1,100%,,,Rahanweyn,,,
3957,Buulo yaroy,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
6850,Oxolo,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
10441,Qorantole,Bay,Buur Hakaba,1,100%,,,Rahanweyn,,,
10368,Dhun dhufay,Bay,Buur Hakaba,1,100%,,,Rahanweyn,,,
4535,Lo'leys,Gedo,Belet Xaawo,1,100%,,,Rahanweyn,,,
4391,Kurto,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
7005,Haluul,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
9949,Burgood,Bay,Buur Hakaba,1,100%,,,Rahanweyn,,,
4319,Saddex-buurood,Bakool,Rab Dhuure,1,100%,,,Rahanweyn,,,
6884,Buulo-nure/b/garas,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
8802,Garasley,Shabelle Dhexe,Balcad,1,100%,,,Rahanweyn,,,
9122,Garas dhere,Shabelle Dhexe,Jowhar,1,100%,,,Rahanweyn,,,
3880,Baidoa/horseed/laanta 2aa,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
8040,Hareeriley,Shabelle Dhexe,Balcad,1,100%,,,Rahanweyn,,,
6443,Faafax dhuun,Gedo,Baardheere,1,100%,,,Rahanweyn,,,
4166,Seynilow,Bakool,Waajid,1,100%,,,Rahanweyn,,,
1710,Galooley,Togdheer,Owdweyne,1,100%,,,Rahanweyn,,,
10645,Warqadey,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
4014,Gormo-gohoon,Gedo,Luuq,1,100%,,,Rahanweyn,,,
10351,Goley,Bay,Buur Hakaba,1,100%,,,Rahanweyn,,,
3737,Mintani,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
3733,Bullo xasan mad,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
4107,Darbaas,Bakool,Xudur,1,100%,,,Rahanweyn,,,
6851,Mada-hool,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
3839,Gasar,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
4351,Goobato,Bakool,Rab Dhuure,1,100%,,,Rahanweyn,,,
10653,Garangarasle,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
4410,Doon qoondhole,Bakool,Rab Dhuure,1,100%,,,Rahanweyn,,,
4413,Ban-soofe,Bakool,Rab Dhuure,1,100%,,,Rahanweyn,,,
4011,Jafeey,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
3881,Baidoa/horseed/laanta 1aa,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
4403,God gamaas,Bakool,Rab Dhuure,1,100%,,,Rahanweyn,,,
10398,Zabit,Bay,Buur Hakaba,1,100%,,,Rahanweyn,,,
3882,Baidoa/isha/laanta 1aad,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
6854,Buulo kuusow,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
6525,Bakal buulo washaaq,Gedo,Baardheere,1,100%,,,Rahanweyn,,,
6995,Goorisine,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
10463,Boonkaay,Bay,Buur Hakaba,1,100%,,,Rahanweyn,,,
10608,Dhanfaruur/buulo doon,Bay,Buur Hakaba,1,100%,,,Rahanweyn,,,
4321,Boodaan,Bakool,Rab Dhuure,1,100%,,,Rahanweyn,,,
3661,War diinle,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
10458,Warabale,Bay,Buur Hakaba,1,100%,,,Rahanweyn,,,
4317,Buur-cadey,Bakool,Rab Dhuure,1,100%,,,Rahanweyn,,,
4356,Edin-goley,Gedo,Luuq,1,100%,,,Rahanweyn,,,
10330,Reebey,Bay,Buur Hakaba,1,100%,,,Rahanweyn,,,
4431,Buur basle,Bakool,Rab Dhuure,1,100%,,,Rahanweyn,,,
4365,Dhurey,Bakool,Waajid,1,100%,,,Rahanweyn,,,
4090,Mada waraaba/buulo libaan,Bakool,Xudur,1,100%,,,Rahanweyn,,,
10141,Bebelow,Bay,Buur Hakaba,1,100%,,,Rahanweyn,,,
3896,Baidoa/hawl wadaag/laanta,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
9383,Busley,Shabelle Hoose,Marka,1,100%,,,Rahanweyn,,,
3414,Tawakal,Hiraan,Belet Weyne,1,100%,,,Rahanweyn,,,
6793,Jidow,Bay,Qansax Dheere,1,100%,,,Rahanweyn,,,
6324,Madhakali,Gedo,Baardheere,1,100%,,,Rahanweyn,,,
3526,Haween,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
4084,Yowkoyow,Bakool,Xudur,1,100%,,,Rahanweyn,,,
4104,Afgooye,Bakool,Xudur,1,100%,,,Rahanweyn,,,
3801,Milleel,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
9855,Baciidley,Shabelle Hoose,Qoryooley,1,100%,,,Rahanweyn,,,
3469,Harti qaanle,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
4443,Rabdhure/horseed,Bakool,Rab Dhuure,1,100%,,,Rahanweyn,,,
4050,Eel leheli,Bakool,Xudur,1,100%,,,Rahanweyn,,,
10689,Baardheere,Gedo,Baardheere,1,100%,,,Rahanweyn,,,
3446,Caasha gaabo,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
3463,Yaqle,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
4373,Barako been,Gedo,Luuq,1,100%,,,Rahanweyn,,,
4105,Iskaashiti,Bakool,Xudur,1,100%,,,Rahanweyn,,,
10158,Dowaay,Bay,Buur Hakaba,1,100%,,,Rahanweyn,,,
4334,Garsaaley,Bakool,Rab Dhuure,1,100%,,,Rahanweyn,,,
7076,Bakal-laagow,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
10212,Ajin,Bay,Buur Hakaba,1,100%,,,Rahanweyn,,,
10569,Wariishi/dhato,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
4327,War gaduudo,Bakool,Rab Dhuure,1,100%,,,Rahanweyn,,,
2704,Xagar,Hiraan,Bulo Burto,1,100%,,,Rahanweyn,,,
2548,Baardheere,Hiraan,Belet Weyne,1,100%,,,Rahanweyn,,,
6224,Towsi,Juba Dhexe,Saakow,1,100%,,,Rahanweyn,,,
6361,Kukati,Gedo,Baardheere,1,100%,,,Rahanweyn,,,
3954,Busley/emed ibraan,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
4175,Kulunjerer,Bakool,Waajid,1,100%,,,Rahanweyn,,,
4165,Doondardiir,Bakool,Xudur,1,100%,,,Rahanweyn,,,
10240,Barkatle yarey,Bay,Buur Hakaba,1,100%,,,Rahanweyn,,,
3824,Carra gaduud,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
9876,Bulaabul,Bay,Buur Hakaba,1,100%,,,Rahanweyn,,,
6859,Baanlow,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
6840,Robay-gaduud,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
10024,Dugule,Bay,Buur Hakaba,1,100%,,,Rahanweyn,,,
3569,Makuudo,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
10424,Lufa,Bay,Buur Hakaba,1,100%,,,Rahanweyn,,,
4063,Buurow,Bakool,Xudur,1,100%,,,Rahanweyn,,,
10286,Uurweyne,Bay,Buur Hakaba,1,100%,,,Rahanweyn,,,
10352,Hoosow,Bay,Buur Hakaba,1,100%,,,Rahanweyn,,,
4449,Isdhoorti,Bakool,Rab Dhuure,1,100%,,,Rahanweyn,,,
4148,Orogley,Bakool,Xudur,1,100%,,,Rahanweyn,,,
10446,Madiini,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
3996,Baagay-gaduudi,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
4465,Goiweyn,Gedo,Luuq,1,100%,,,Rahanweyn,,,
7046,Caliyow-muumin,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
6159,Kurtun,Bay,Diinsoor,1,100%,,,Rahanweyn,,,
9976,Boholey,Shabelle Hoose,Qoryooley,1,100%,,,Rahanweyn,,,
4331,Aleemow,Bakool,Waajid,1,100%,,,Rahanweyn,,,
3467,Sagaara-gali,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
4546,Tuulo qallooc,Gedo,Belet Xaawo,1,100%,,,Rahanweyn,,,
4044,Qaydar edi,Bakool,Xudur,1,100%,,,Rahanweyn,,,
3966,Jiiro gurey,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
3747,Baab,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
3466,Nibkisaar,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
6817,Korey,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
4711,Abowiye,Gedo,Luuq,1,100%,,,Rahanweyn,,,
3492,Mursal borow,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
3855,Mintaanka,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
10248,Barkadle wiin,Bay,Buur Hakaba,1,100%,,,Rahanweyn,,,
3389,Macruuf,Hiraan,Belet Weyne,1,100%,,,Rahanweyn,,,
3872,Lowi-gadud,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
3790,Eddayin/mowlli,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
